Column,DataType,Meaning,HowToUse
week,object,"Ngày Chủ Nhật của tuần trong BXH Billboard (dạng YYYY-MM-DD).","Dùng làm mốc thời gian để phân tích xu hướng theo tuần."
rank,int64,"Thứ hạng bài hát trong tuần (1 = cao nhất, 100 = thấp nhất).","Phân tích Top 10/50, đo độ bền hạng, vẽ timeline rank theo tuần."
title,object,"Tên bài hát.","Dùng hiển thị trên dashboard; kết hợp với week để vẽ xu hướng."
artist,object,"Tên nghệ sĩ thể hiện chính (Billboard cung cấp).","Phân tích theo nghệ sĩ: Top Artist, số lần vào BXH, xu hướng hợp tác."
spotify_id,object,"ID duy nhất của track trên Spotify.","Dùng làm khóa để join dữ liệu từ Spotify API/ReccoBeats."
danceability,float64,"Mức độ dễ nhảy (0–1).","Phân tích đặc trưng của hit songs; thường cao trong Pop/Dance."
energy,float64,"Độ 'năng lượng' / cường độ bài hát (0–1).","So sánh hit vs non-hit; nhận diện xu hướng nhạc sôi động."
tempo,float64,"Nhịp độ bài hát (beats per minute – BPM).","Phân tích BPM phổ biến trong các bài hit."
valence,float64,"Mức độ tích cực/vui vẻ (0–1).","Phân biệt nhạc vui (valence cao) với ballad/buồn (valence thấp)."
speechiness,float64,"Mức độ giọng nói (0–1).","Thường cao trong Rap/Hip-hop; thấp trong Pop/Ballad."
acousticness,float64,"Mức độ acoustic / nhạc mộc (0–1).","Ballad/Indie acoustic thường cao; Pop/EDM thấp."
instrumentalness,float64,"Khả năng là nhạc không lời (0–1).","EDM/nhạc nền cao; Pop vocal thấp."
liveness,float64,"Mức độ biểu diễn live (0–1).","Dùng để phát hiện bài hát thu live concert."
loudness,float64,"Độ lớn trung bình (dB, chuẩn hoá).","Kết hợp với energy để phân tích phong cách sản xuất."
key,float64,"Tông nhạc (0–11, 0=C, 1=C#/Db, … 11=B).","Phân tích xu hướng tông nhạc được ưa chuộng."
mode,float64,"Thang âm: 1=Major (tươi sáng), 0=Minor (buồn/sâu lắng).","So sánh mood Major vs Minor."
genre,object,"Thể loại âm nhạc chính (lấy từ Spotify Artist API, NaN nếu không có).","Nhóm xu hướng theo genre, Top genres theo rank/streams."
